0,1,2,3,4,5,6,7
ATL,TB,Thu,PRIME,14,NFL,0,0
ATL,TB,Thu,PRIME,15,NFL,0,0
ATL,TB,Thu,PRIME,16,NFL,0,0
ATL,TB,Thu,PRIME,2,NFL,0,0
ATL,TB,Thu,PRIME,3,NFL,0,0
ATL,TB,Thu,PRIME,4,NFL,0,0
ATL,TB,Thu,PRIME,5,NFL,0,0
ATL,TB,Thu,PRIME,6,NFL,0,0
ATL,TB,Thu,PRIME,7,NFL,0,0
ATL,TB,Thu,PRIME,8,NFL,0,0
ATL,TB,Thu,PRIME,9,NFL,0,0
BAL,CIN,Sat,PRIME,15,NFL,0,1
BAL,CIN,Sat,PRIME,16,NFL,0,1
BAL,CIN,Thu,PRIME,1,NFL,0,0
BAL,CIN,Thu,PRIME,10,NFL,0,0
BAL,CIN,Thu,PRIME,11,NFL,0,0
BAL,CIN,Thu,PRIME,12,NFL,0,0
BAL,CIN,Thu,PRIME,13,NFL,0,0
BAL,CIN,Thu,PRIME,14,NFL,0,0
BAL,CIN,Thu,PRIME,15,NFL,0,0
BAL,CIN,Thu,PRIME,16,NFL,0,0
BAL,CIN,Thu,PRIME,2,NFL,0,0
BAL,CIN,Thu,PRIME,3,NFL,0,0
BAL,CIN,Thu,PRIME,4,NFL,0,0
BAL,CIN,Thu,PRIME,5,NFL,0,0
BAL,CIN,Thu,PRIME,6,NFL,0,0
BAL,CIN,Thu,PRIME,7,NFL,0,0
BAL,CIN,Thu,PRIME,8,NFL,0,0
BAL,CIN,Thu,PRIME,9,NFL,0,0
BAL,MIN,Sat,PRIME,15,NFL,0,1
BAL,MIN,Sat,PRIME,16,NFL,0,0
BAL,MIN,Sun,PRIME,1,NBC,0,0
BAL,MIN,Sun,PRIME,10,NBC,0,0
BAL,MIN,Sun,PRIME,11,NBC,0,0
BAL,MIN,Sun,PRIME,12,NBC,0,0
BAL,MIN,Sun,PRIME,13,NBC,0,0
BAL,MIN,Sun,PRIME,14,NBC,0,0
BAL,MIN,Sun,PRIME,15,NBC,0,0
BAL,MIN,Sun,PRIME,16,NBC,0,0
BAL,MIN,Sun,PRIME,17,NBC,0,0
BAL,MIN,Sun,PRIME,2,NBC,0,0
BAL,MIN,Sun,PRIME,3,NBC,0,0
BAL,MIN,Sun,PRIME,4,NBC,0,0
BAL,MIN,Sun,PRIME,5,NBC,0,0
BAL,MIN,Sun,PRIME,6,NBC,0,0
BAL,MIN,Sun,PRIME,7,NBC,0,0
BAL,MIN,Sun,PRIME,8,NBC,0,0
BAL,MIN,Sun,PRIME,9,NBC,0,0
BAL,MIN,Thu,PRIME,1,NBC,0,0
BAL,MIN,Thu,PRIME,12,NBC,0,0
BAL,MIN,Thu,PRIME,1,NFL,0,0
