0,1,2,3,4,5,6,7
ARZ,SF,Sun,LATE,11,FOX,0,1
ARZ,SF,Sun,LATE,12,FOX,0,1
ARZ,SF,Sun,LATE,13,FOX,0,0
ARZ,SF,Sun,LATE,14,FOX,0,1
ARZ,SF,Sun,LATE,15,FOX,0,1
ARZ,SF,Sun,LATE,16,FOX,0,1
ARZ,SF,Sun,LATE,17,FOX,0,1
ARZ,SF,Sun,LATE,2,FOX,0,1
ARZ,SF,Sun,LATE,3,FOX,0,1
ARZ,SF,Sun,LATE,4,FOX,0,0
ARZ,SF,Sun,LATE,5,FOX,0,0
ARZ,SF,Sun,LATE,6,FOX,0,1
ARZ,SF,Sun,LATE,7,FOX,0,1
ARZ,SF,Sun,LATE,8,FOX,0,1
ARZ,SF,Sun,LATE,9,FOX,0,1
ARZ,WAS,Sun,EARLY,1,CBS,0,1
ARZ,WAS,Sun,EARLY,10,CBS,0,1
ARZ,WAS,Sun,EARLY,11,CBS,0,1
ARZ,WAS,Sun,EARLY,12,CBS,0,1
ARZ,WAS,Sun,EARLY,13,CBS,0,1
ARZ,WAS,Sun,EARLY,14,CBS,0,1
ARZ,WAS,Sun,EARLY,15,CBS,0,1
ARZ,WAS,Sun,EARLY,16,CBS,0,1
ARZ,WAS,Sun,EARLY,17,CBS,0,0
ARZ,WAS,Sun,EARLY,2,CBS,0,0
ARZ,WAS,Sun,EARLY,3,CBS,0,0
ARZ,WAS,Sun,EARLY,4,CBS,0,1
ARZ,WAS,Sun,EARLY,5,CBS,0,1
ARZ,WAS,Sun,EARLY,6,CBS,0,1
ARZ,WAS,Sun,EARLY,7,CBS,0,1
ARZ,WAS,Sun,EARLY,8,CBS,0,1
ARZ,WAS,Sun,EARLY,9,CBS,0,1
ARZ,WAS,Sun,EARLY,1,FOX,0,1
ARZ,WAS,Sun,EARLY,10,FOX,0,1
ARZ,WAS,Sun,EARLY,11,FOX,0,1
ARZ,WAS,Sun,EARLY,12,FOX,0,1
ARZ,WAS,Sun,EARLY,13,FOX,0,1
ARZ,WAS,Sun,EARLY,14,FOX,0,1
ARZ,WAS,Sun,EARLY,15,FOX,0,1
ARZ,WAS,Sun,EARLY,16,FOX,0,1
ARZ,WAS,Sun,EARLY,17,FOX,0,1
ARZ,WAS,Sun,EARLY,2,FOX,0,0
ARZ,WAS,Sun,EARLY,3,FOX,0,1
ARZ,WAS,Sun,EARLY,4,FOX,0,1
ARZ,WAS,Sun,EARLY,5,FOX,0,1
ARZ,WAS,Sun,EARLY,6,FOX,0,1
ARZ,WAS,Sun,EARLY,7,FOX,0,1
ARZ,WAS,Sun,EARLY,8,FOX,0,1
ARZ,WAS,Sun,EARLY,9,FOX,0,1
ATL,CAR,Mon,PRIME,1,ESPN,0,0
ATL,CAR,Mon,PRIME,10,ESPN,0,1
ATL,CAR,Mon,PRIME,11,ESPN,0,1
ATL,CAR,Mon,PRIME,12,ESPN,0,1
ATL,CAR,Mon,PRIME,13,ESPN,0,0
ATL,CAR,Mon,PRIME,14,ESPN,0,1
ATL,CAR,Mon,PRIME,15,ESPN,0,1
ATL,CAR,Mon,PRIME,16,ESPN,0,0
ATL,CAR,Mon,PRIME,2,ESPN,0,0
ATL,CAR,Mon,PRIME,3,ESPN,0,1
ATL,CAR,Mon,PRIME,4,ESPN,0,1
ATL,CAR,Mon,PRIME,5,ESPN,0,0
ATL,CAR,Mon,PRIME,6,ESPN,0,0
ATL,CAR,Mon,PRIME,7,ESPN,0,0
ATL,CAR,Mon,PRIME,8,ESPN,0,1
ATL,CAR,Mon,PRIME,9,ESPN,0,1
ATL,CAR,Sat,PRIME,15,NFL,0,1
ATL,CAR,Sat,PRIME,16,NFL,0,1
ATL,CAR,Sun,EARLY,1,CBS,0,1
ATL,CAR,Sun,EARLY,10,CBS,0,1
ATL,CAR,Sun,EARLY,11,CBS,0,1
